# regime-adapt train day sampling v1 | frozen 2026-08-09 | seed=42
# train=2004-01-02..2020-07-31 | labels=monthly_regime_3style.csv
# D downsample keep=1718/2771 (f_D=0.619993); target D/F/T=55/30/15; decay halflife=48m (M3 only)
date,weight
2004-01-07,0.14914981
2004-01-08,0.14922058
2004-01-13,0.14957498
2004-01-14,0.14964596
2004-01-15,0.14971697
2004-01-16,0.14978802
2004-01-29,0.15071471
2004-01-30,0.15078624
2004-02-02,0.151001
2004-02-05,0.15121607
2004-02-09,0.15150332
2004-02-10,0.15157521
2004-02-11,0.15164714
2004-02-13,0.1517911
2004-02-16,0.1520073
2004-02-18,0.1521516
2004-02-19,0.15222381
2004-02-20,0.15229604
2004-02-24,0.15258533
2004-02-25,0.15265774
2004-02-26,0.15273019
2004-03-01,0.1530203
2004-03-02,0.15309292
2004-03-04,0.15323825
2004-03-05,0.15331097
2004-03-11,0.15374801
2004-03-12,0.15382097
2004-03-15,0.15404006
2004-03-16,0.15411316
2004-03-17,0.15418629
2004-03-22,0.15455248
2004-03-23,0.15462582
2004-03-24,0.1546992
2004-03-25,0.15477261
2004-03-29,0.15506661
2004-03-30,0.15514019
2004-03-31,0.15521381
2004-04-06,0.15565627
2004-04-07,0.15573014
2004-04-08,0.15580404
2004-04-12,0.1561
2004-04-13,0.15617407
2004-04-19,0.15661927
2004-04-20,0.1566936
2004-04-21,0.15676795
2004-04-23,0.15691678
2004-04-27,0.15721485
2004-04-30,0.15743877
2004-05-10,0.15818749
2004-05-12,0.15833766
2004-05-14,0.15848797
2004-05-19,0.15886437
2004-05-20,0.15893976
2004-05-21,0.15901519
2004-05-24,0.15924167
2004-05-25,0.15931724
2004-05-27,0.15946848
2004-05-31,0.1597714
2004-06-01,0.15984722
2004-06-03,0.15999896
2004-06-04,0.16007489
2004-06-07,0.16030289
2004-06-09,0.16045507
2004-06-11,0.16060739
2004-06-15,0.16091247
2004-06-17,0.16106523
2004-06-18,0.16114166
2004-06-22,0.16144775
2004-06-23,0.16152437
2004-06-28,0.16190799
2004-06-29,0.16198482
2004-06-30,0.16206169
2004-07-01,0.16213859
2004-07-06,0.16252367
2004-07-07,0.16260079
2004-07-09,0.16275515
2004-07-13,0.16306431
2004-07-14,0.16314169
2004-07-16,0.16329657
2004-07-19,0.16352915
2004-07-20,0.16360676
2004-07-27,0.164151
2004-07-28,0.1642289
2004-07-29,0.16430683
2004-07-30,0.1643848
2004-08-02,0.16461894
2004-08-04,0.16477522
2004-08-10,0.16524493
2004-08-12,0.1654018
2004-08-13,0.16548029
2004-08-16,0.16571599
2004-08-17,0.16579463
2004-08-20,0.16603077
2004-08-25,0.16642509
