# regime_features v1 | generated 2026-08-09 | causal z win=250 min=120 clip=±5.0 | tier2 NaN=哨兵
datetime,amount_surge_z,mom_cum20_z,idx_uplow60_z,idx_dd250_z,lowvol_highvol_cum20_z,limitup_share_z,disp20_z,basis_pct_z,shibor1w_neg_chg20_z,idx_dd250,idx_uplow60
2003-01-02,,,,,,,,,,,
2003-01-03,,,,,,,,,,,
2003-01-06,,,,,,,,,,,
2003-01-07,,,,,,,,,,,
2003-01-08,,,,,,,,,,,
2003-01-09,,,,,,,,,,,
2003-01-10,,,,,,,,,,,
2003-01-13,,,,,,,,,,,
2003-01-14,,,,,,,,,,,
2003-01-15,,,,,,,,,,,
2003-01-16,,,,,,,,,,,
2003-01-17,,,,,,,,,,,
2003-01-20,,,,,,,,,,,
2003-01-21,,,,,,,,,,,
2003-01-22,,,,,,,,,,,
2003-01-23,,,,,,,,,,,
2003-01-24,,,,,,,,,,,
2003-01-27,,,,,,,,,,,
2003-01-28,,,,,,,,,,,
2003-01-29,,,,,,,,,,,0.12489
2003-02-10,,,,,,,,,,,0.10893
2003-02-11,,,,,,,,,,,0.11902
2003-02-12,,,,,,,,,,,0.13160
2003-02-13,,,,,,,,,,,0.12605
2003-02-14,,,,,,,,,,,0.13057
2003-02-17,,,,,,,,,,,0.12219
2003-02-18,,,,,,,,,,,0.12241
2003-02-19,,,,,,,,,,,0.13326
2003-02-20,,,,,,,,,,,0.13193
2003-02-21,,,,,,,,,,,0.11002
2003-02-24,,,,,,,,,,,0.11129
2003-02-25,,,,,,,,,,,0.13165
2003-02-26,,,,,,,,,,,0.13122
2003-02-27,,,,,,,,,,,0.13221
2003-02-28,,,,,,,,,,,0.13073
2003-03-03,,,,,,,,,,,0.13962
2003-03-04,,,,,,,,,,,0.13866
2003-03-05,,,,,,,,,,,0.13448
2003-03-06,,,,,,,,,,,0.12009
2003-03-07,,,,,,,,,,,0.11664
2003-03-10,,,,,,,,,,,0.09746
2003-03-11,,,,,,,,,,,0.09714
2003-03-12,,,,,,,,,,,0.10143
2003-03-13,,,,,,,,,,,0.09467
2003-03-14,,,,,,,,,,,0.09696
2003-03-17,,,,,,,,,,,0.09847
2003-03-18,,,,,,,,,,,0.09340
2003-03-19,,,,,,,,,,,0.09940
2003-03-20,,,,,,,,,,,0.09533
2003-03-21,,,,,,,,,,,0.10423
2003-03-24,,,,,,,,,,,0.10630
2003-03-25,,,,,,,,,,,0.09555
2003-03-26,,,,,,,,,,,0.09098
2003-03-27,,,,,,,,,,,0.11909
2003-03-28,,,,,,,,,,,0.11713
2003-03-31,,,,,,,,,,,0.13194
2003-04-01,,,,,,,,,,,0.13976
2003-04-02,,,,,,,,,,,0.13921
2003-04-03,,,,,,,,,,,0.13210
2003-04-04,,,,,,,,,,-0.00000,0.13976
2003-04-07,,,,,,,,,,-0.00460,0.13451
2003-04-08,,,,,,,,,,-0.00163,0.12938
2003-04-09,,,,,,,,,,0.00000,0.14925
2003-04-10,,,,,,,,,,0.00000,0.12898
2003-04-11,,,,,,,,,,0.00000,0.13679
2003-04-14,,,,,,,,,,0.00000,0.16489
2003-04-15,,,,,,,,,,0.00000,0.17162
2003-04-16,,,,,,,,,,-0.01001,0.11687
2003-04-17,,,,,,,,,,-0.00727,0.11997
2003-04-18,,,,,,,,,,-0.01281,0.11371
2003-04-21,,,,,,,,,,-0.03240,0.09162
2003-04-22,,,,,,,,,,-0.03234,0.09168
2003-04-23,,,,,,,,,,-0.04795,0.07408
2003-04-24,,,,,,,,,,-0.07485,0.04372
2003-04-25,,,,,,,,,,-0.08495,0.03233
2003-04-28,,,,,,,,,,-0.05056,0.06786
2003-04-29,,,,,,,,,,-0.06507,0.05154
2003-04-30,,,,,,,,,,-0.05871,0.05870
2003-05-12,,,,,,,,,,-0.05009,0.06840
2003-05-13,,,,,,,,,,-0.07657,0.03862
2003-05-14,,,,,,,,,,-0.05632,0.06139
2003-05-15,,,,,,,,,,-0.03334,0.08724
2003-05-16,,,,,,,,,,-0.03267,0.08800
2003-05-19,,,,,,,,,,-0.03145,0.08936
2003-05-20,,,,,,,,,,-0.04248,0.07695
2003-05-21,,,,,,,,,,-0.04424,0.07498
2003-05-22,,,,,,,,,,-0.03557,0.08473
2003-05-23,,,,,,,,,,-0.02552,0.09603
2003-05-26,,,,,,,,,,-0.01867,0.10373
2003-05-27,,,,,,,,,,-0.01792,0.10458
2003-05-28,,,,,,,,,,-0.03006,0.09093
2003-05-29,,,,,,,,,,-0.01709,0.10551
2003-05-30,,,,,,,,,,-0.01247,0.11071
2003-06-02,,,,,,,,,,-0.01276,0.11039
2003-06-03,,,,,,,,,,-0.02402,0.09772
2003-06-04,,,,,,,,,,-0.01582,0.10694
2003-06-05,,,,,,,,,,-0.02866,0.09250
2003-06-06,,,,,,,,,,-0.04192,0.07758
2003-06-09,,,,,,,,,,-0.05171,0.06657
2003-06-10,,,,,,,,,,-0.04658,0.07234
2003-06-11,,,,,,,,,,-0.02962,0.09142
2003-06-12,,,,,,,,,,-0.03323,0.08736
2003-06-13,,,,,,,,,,-0.03034,0.09061
2003-06-16,,,,,,,,,,-0.03320,0.08740
2003-06-17,,,,,,,,,,-0.03671,0.08344
2003-06-18,,,,,,,,,,-0.03839,0.08156
2003-06-19,,,,,,,,,,-0.04829,0.07043
2003-06-20,,,,,,,,,,-0.05514,0.06272
2003-06-23,,,,,,,,,,-0.06479,0.05186
2003-06-24,,,,,,,,,,-0.06237,0.05458
2003-06-25,,,,,,,,,,-0.06881,0.04734
2003-06-26,,,,,,,,,,-0.05983,0.05745
2003-06-27,,,,,,,,,,-0.07330,0.01790
2003-06-30,,,,,,,,,,-0.07799,0.01274
