symbol,name
SH600000,浦发银行
SH600004,白云机场
SH600006,东风股份
SH600007,中国国贸
SH600008,首创环保
SH600009,上海机场
SH600010,包钢股份
SH600011,华能国际
SH600012,皖通高速
SH600015,华夏银行
SH600016,民生银行
SH600017,日照港
SH600018,上港集团
SH600019,宝钢股份
SH600020,中原高速
SH600021,上海电力
SH600022,山东钢铁
SH600023,浙能电力
SH600025,华能水电
SH600026,中远海能
SH600027,华电国际
SH600028,中国石化
SH600029,南方航空
SH600030,中信证券
SH600031,三一重工
SH600032,浙江新能
SH600033,福建高速
SH600035,楚天高速
SH600036,招商银行
SH600037,歌华有线
SH600038,中直股份
SH600039,四川路桥
SH600048,保利发展
SH600050,中国联通
SH600051,宁波联合
SH600052,东望时代
SH600053,*ST九鼎
SH600054,黄山旅游
SH600055,万东医疗
SH600056,中国医药
SH600057,厦门象屿
SH600058,五矿发展
SH600059,古越龙山
SH600060,海信视像
SH600061,国投资本
SH600062,华润双鹤
SH600063,皖维高新
SH600064,南京高科
SH600066,宇通客车
SH600067,冠城新材
SH600071,凤凰光学
SH600072,中船科技
SH600073,光明肉业
SH600075,新疆天业
SH600076,康欣新材
SH600078,澄星股份
SH600079,ST人福
SH600080,ST金花
SH600081,东风科技
SH600082,ST海泰
SH600084,*ST尼雅
SH600085,同仁堂
SH600088,中视传媒
SH600089,特变电工
SH600094,大名城
SH600095,湘财股份
SH600096,云天化
SH600097,开创国际
SH600098,广州发展
SH600099,林海股份
SH600100,同方股份
SH600101,明星电力
SH600103,青山纸业
SH600104,上汽集团
SH600105,永鼎股份
SH600106,重庆路桥
SH600107,*ST尔雅
SH600108,亚盛集团
SH600109,国金证券
SH600110,诺德股份
SH600111,北方稀土
SH600113,浙江东日
SH600114,东睦股份
SH600115,中国东航
SH600116,三峡水利
SH600117,西宁特钢
SH600118,中国卫星
SH600119,*ST长投
SH600120,浙江东方
SH600121,郑州煤电
SH600123,兰花科创
SH600125,铁龙物流
SH600126,杭钢股份
SH600127,金健米业
SH600128,苏豪弘业
SH600129,太极集团
SH600130,波导股份
SH600131,国网信通
SH600132,重庆啤酒
SH600133,东湖高新
SH600135,乐凯胶片
SH600136,ST明诚
SH600137,浪莎股份
SH600138,中青旅
SH600141,兴发集团
SH600143,金发科技
SH600148,长春一东
SH600149,廊坊发展
SH600150,中国船舶
SH600151,航天机电
SH600152,维科技术
SH600153,建发股份
SH600155,华创云信
SH600156,华升股份
SH600157,永泰能源
SH600158,中体产业
SH600159,大龙地产
SH600160,巨化股份
SH600161,天坛生物
SH600162,香江控股
SH600163,中闽能源
SH600165,ST宁科
SH600166,福田汽车
SH600167,联美控股
SH600168,武汉控股
SH600169,ST太重
SH600170,上海建工
SH600171,上海贝岭
SH600172,黄河旋风
SH600173,卧龙新能
SH600176,中国巨石
SH600177,雅戈尔
SH600178,东安动力
SH600179,安通控股
SH600180,*ST瑞茂
SH600182,S佳通
SH600183,生益科技
SH600184,光电股份
SH600185,珠免集团
SH600186,莲花控股
SH600187,*ST国中
SH600188,兖矿能源
SH600189,泉阳泉
SH600191,华资实业
SH600192,长城电工
SH600195,中牧股份
SH600196,复星医药
SH600197,伊力特
SH600198,大唐电信
SH600199,金种子酒
SH600201,生物股份
SH600202,哈空调
SH600203,福日电子
SH600206,有研新材
SH600207,安彩高科
SH600208,衢州发展
SH600210,紫江企业
SH600211,西藏药业
SH600212,绿能慧充
SH600215,派斯林
SH600216,浙江医药
SH600217,中再资环
SH600218,全柴动力
SH600219,南山铝业
SH600221,海航控股
SH600222,太龙药业
SH600223,福瑞达
SH600226,亨通股份
SH600227,赤天化
SH600228,返利科技
SH600229,城市传媒
SH600230,沧州大化
SH600231,凌钢股份
SH600232,金鹰股份
SH600233,圆通速递
SH600234,科新发展
SH600235,民丰特纸
SH600236,桂冠电力
SH600237,铜峰电子
SH600238,ST椰岛
SH600239,ST云城
SH600241,时代万恒
SH600243,*ST海华
SH600246,万通发展
SH600248,陕建股份
SH600249,两面针
SH600250,南京商旅
SH600251,冠农股份
SH600252,中恒集团
SH600255,鑫科材料
SH600256,广汇能源
SH600257,大湖股份
SH600258,首旅酒店
SH600259,中稀有色
SH600261,阳光照明
SH600262,北方股份
SH600265,*ST景谷
SH600266,城建发展
SH600267,海正药业
SH600268,国电南自
SH600269,赣粤高速
SH600271,航天信息
SH600272,开开实业
SH600273,嘉化能源
SH600276,恒瑞医药
SH600278,东方创业
SH600279,重庆港
SH600280,中央商场
SH600281,华阳新材
SH600282,南钢股份
SH600283,钱江水利
SH600284,浦东建设
SH600285,羚锐制药
SH600287,苏豪时尚
SH600288,大恒科技
SH600289,ST信通
SH600292,电投水电
SH600293,三峡新材
SH600295,鄂尔多斯
SH600298,安琪酵母
SH600299,安迪苏
SH600300,维维股份
SH600301,华锡有色
SH600302,ST标准
SH600303,曙光股份
SH600305,恒顺醋业
SH600307,酒钢宏兴
SH600308,华泰股份
SH600309,万华化学
SH600310,广西能源
SH600312,平高电气
SH600313,农发种业
SH600315,上海家化
SH600316,洪都航空
SH600318,新力金融
SH600319,亚星化学
SH600320,振华重工
SH600322,津投城开
SH600323,瀚蓝环境
SH600325,华发股份
SH600326,西藏天路
SH600327,大东方
SH600328,中盐化工
SH600329,达仁堂
SH600330,天通股份
SH600331,宏达股份
SH600332,白云山
SH600333,长春燃气
SH600335,国机汽车
SH600336,澳柯玛
SH600337,ST美克
SH600338,西藏珠峰
SH600339,中油工程
SH600340,*ST华幸
SH600343,航天动力
SH600345,长江通信
SH600346,恒力石化
SH600348,华阳股份
SH600350,山东高速
SH600351,亚宝药业
SH600352,浙江龙盛
SH600353,旭光电子
SH600354,敦煌种业
SH600356,恒丰纸业
SH600358,国旅联合
SH600359,新农开发
SH600360,华微电子
SH600361,创新新材
SH600362,江西铜业
SH600363,联创光电
SH600365,ST通葡
SH600366,宁波韵升
SH600367,红星发展
SH600368,五洲交通
SH600369,西南证券
SH600370,*ST三房
SH600371,万向德农
SH600372,中航机载
SH600373,中文传媒
SH600375,汉马科技
SH600376,首开股份
SH600377,宁沪高速
SH600378,昊华科技
SH600379,宝光股份
SH600380,健康元
SH600381,*ST春天
SH600382,广东明珠
SH600383,金地集团
SH600386,北巴传媒
SH600388,龙净环保
SH600389,江山股份
SH600390,五矿资本
SH600391,航发科技
SH600392,盛和资源
SH600395,盘江股份
SH600396,华电辽能
SH600397,江钨装备
SH600398,海澜之家
SH600399,抚顺特钢
SH600400,红豆股份
SH600403,大有能源
SH600405,动力源
SH600406,国电南瑞
SH600408,安泰集团
SH600409,三友化工
SH600410,华胜天成
SH600415,小商品城
SH600416,湘电股份
SH600418,江淮汽车
SH600419,天润乳业
SH600420,国药现代
SH600422,昆药集团
SH600423,*ST柳化
SH600425,青松建化
SH600426,华鲁恒升
SH600428,中远海特
SH600429,三元股份
SH600433,冠豪高新
SH600435,北方导航
SH600436,片仔癀
SH600438,通威股份
SH600439,ST瑞贝卡
SH600444,国机通用
SH600446,金证股份
SH600448,华纺股份
SH600449,宁夏建材
SH600452,涪陵电力
SH600455,博通股份
SH600456,宝钛股份
SH600458,时代新材
SH600459,贵研铂业
SH600460,士兰微
SH600461,洪城环境
SH600463,空港股份
SH600467,好当家
SH600468,百利电气
SH600469,风神股份
SH600470,六国化工
SH600475,华光环能
SH600476,*ST湘邮
SH600477,杭萧钢构
SH600478,科力远
SH600479,千金药业
SH600480,凌云股份
SH600481,双良节能
SH600482,中国动力
SH600483,福能股份
SH600486,扬农化工
SH600487,亨通光电
SH600488,津药药业
SH600489,中金黄金
SH600490,鹏欣资源
SH600491,ST龙元
SH600493,凤竹纺织
SH600495,晋西车轴
SH600496,精工钢构
SH600497,驰宏锌锗
SH600498,烽火通信
SH600499,科达制造
SH600500,中化国际
SH600501,航天晨光
SH600502,安徽建工
SH600503,华丽家族
SH600505,西昌电力
SH600506,统一股份
SH600507,方大特钢
SH600508,上海能源
SH600509,天富能源
SH600510,黑牡丹
SH600511,国药股份
SH600512,腾达建设
SH600513,联环药业
SH600515,海南机场
SH600516,方大炭素
SH600517,国网英大
SH600518,康美药业
SH600519,贵州茅台
SH600520,三佳科技
SH600521,华海药业
SH600522,中天科技
SH600523,贵航股份
SH600525,ST长园
SH600526,菲达环保
SH600527,江南高纤
SH600528,XD中铁工
SH600529,山东药玻
SH600530,ST交昂
SH600531,豫光金铅
SH600533,栖霞建设
SH600535,天士力
SH600536,中国软件
SH600537,*ST亿晶
SH600538,国发股份
SH600539,狮头股份
SH600540,新赛股份
SH600543,*ST莫高
SH600545,卓郎智能
SH600546,山煤国际
SH600547,山东黄金
SH600548,深高速
SH600549,厦门钨业
SH600550,保变电气
SH600551,时代出版
SH600552,凯盛科技
SH600556,天下秀
SH600557,康缘药业
SH600558,大西洋
SH600559,老白干酒
SH600560,金自天正
SH600561,江西长运
SH600562,国睿科技
SH600563,法拉电子
SH600566,济川药业
SH600567,山鹰国际
SH600568,ST中珠
SH600569,安阳钢铁
SH600570,恒生电子
SH600571,信雅达
SH600572,康恩贝
SH600573,惠泉啤酒
SH600575,淮河能源
SH600576,祥源文旅
SH600577,精达股份
SH600578,京能电力
SH600579,中化装备
SH600580,卧龙电驱
SH600581,*ST八钢
SH600582,天地科技
SH600583,海油工程
SH600584,长电科技
SH600585,海螺水泥
SH600586,金晶科技
SH600587,新华医疗
SH600588,用友网络
SH600589,大位科技
SH600590,泰豪科技
SH600592,龙溪股份
SH600593,大连圣亚
SH600594,益佰制药
SH600595,中孚实业
SH600596,新安股份
SH600597,光明乳业
SH600598,北大荒
SH600600,青岛啤酒
SH600601,方正科技
SH600602,云赛智联
SH600603,广汇物流
SH600604,市北高新
SH600605,汇通能源
SH600606,绿地控股
SH600609,金杯汽车
SH600610,中毅达
SH600611,大众交通
SH600612,老凤祥
SH600613,神奇制药
SH600615,鑫源智造
SH600616,金枫酒业
SH600617,国新能源
SH600618,氯碱化工
SH600619,海立股份
SH600620,天宸股份
SH600621,华鑫股份
SH600622,光大嘉宝
SH600623,华谊集团
SH600624,ST复华
SH600626,申达股份
SH600628,XD新世界
SH600629,华建集团
SH600630,龙头股份
SH600633,浙数文化
SH600635,大众公用
SH600637,东方明珠
SH600638,新黄浦
SH600639,浦东金桥
SH600640,国脉文化
SH600641,先导基电
SH600642,申能股份
SH600643,爱建集团
SH600644,乐山电力
SH600645,中源协和
SH600648,外高桥
SH600649,城投控股
SH600650,锦江在线
SH600651,飞乐音响
SH600653,申华控股
SH600654,中安科
SH600655,豫园股份
SH600657,信达地产
SH600658,电子城
SH600660,福耀玻璃
SH600661,昂立教育
SH600662,XD外服控
SH600663,陆家嘴
SH600664,哈药股份
SH600665,天地源
SH600666,奥瑞德
SH600667,太极实业
SH600668,尖峰集团
SH600671,天目药业
SH600673,东阳光
SH600674,川投能源
SH600675,中华企业
SH600676,久事动娱
SH600678,ST金顶
SH600679,上海凤凰
SH600681,百川能源
SH600682,南京新百
SH600683,京投发展
SH600684,珠江股份
SH600685,中船防务
SH600686,金龙汽车
SH600688,上海石化
SH600689,上海三毛
SH600690,海尔智家
SH600691,潞化科技
SH600692,亚通股份
SH600693,东百集团
SH600694,大商股份
SH600697,欧亚集团
SH600698,湖南天雁
SH600699,均胜电子
SH600702,舍得酒业
SH600703,三安光电
SH600704,物产中大
SH600706,曲江文旅
SH600707,彩虹股份
SH600708,光明地产
SH600710,苏美达
SH600711,盛屯矿业
SH600712,南宁百货
SH600713,南京医药
SH600714,金瑞矿业
SH600715,文投控股
SH600716,凤凰股份
SH600717,天津港
SH600718,东软集团
SH600719,大连热电
SH600720,中交设计
SH600721,百花医药
SH600722,金牛化工
SH600724,宁波富达
SH600725,云维股份
SH600726,华电能源
SH600727,鲁北化工
SH600728,佳都科技
SH600729,重百集团
SH600730,*ST高科
SH600731,湖南海利
SH600732,爱旭股份
SH600733,北汽蓝谷
SH600734,*ST实达
SH600735,ST新华锦
SH600736,苏州高新
SH600737,中粮糖业
SH600738,丽尚国潮
SH600739,辽宁成大
SH600740,山西焦化
SH600741,华域汽车
SH600742,富维股份
SH600743,华远控股
SH600744,华银电力
SH600745,*ST闻泰
SH600746,江苏索普
SH600748,上实发展
SH600749,西藏旅游
SH600750,华润江中
SH600751,海航科技
SH600753,ST海钦
SH600754,锦江酒店
SH600755,厦门国贸
SH600756,浪潮软件
SH600757,长江传媒
SH600758,辽宁能源
SH600759,ST洲际
SH600760,中航沈飞
SH600761,安徽合力
SH600763,通策医疗
SH600764,中国海防
SH600765,中航重机
SH600768,宁波富邦
SH600769,祥龙电业
SH600770,综艺股份
SH600771,广誉远
SH600773,西藏城投
SH600774,汉商集团
SH600775,南京熊猫
SH600776,东方通信
SH600777,新潮能源
SH600778,友好集团
SH600779,水井坊
SH600780,通宝能源
SH600782,新钢股份
SH600783,鲁信创投
SH600784,鲁银投资
SH600785,新华百货
SH600787,中储股份
SH600789,鲁抗医药
SH600790,轻纺城
SH600791,京能置业
SH600792,云煤能源
SH600793,宜宾纸业
SH600794,保税科技
SH600795,国电电力
SH600796,钱江生化
SH600797,浙大网新
SH600798,宁波海运
SH600800,渤海化学
SH600801,华新建材
SH600802,福建水泥
SH600803,新奥股份
SH600805,悦达投资
SH600807,济高发展
SH600808,马钢股份
SH600809,山西汾酒
SH600810,神马股份
SH600812,华北制药
SH600814,杭州解百
SH600815,厦工股份
SH600816,建元信托
SH600817,宇通重工
SH600818,ST中路
SH600819,耀皮玻璃
SH600820,隧道股份
SH600821,金开新能
SH600822,上海物贸
SH600824,XD益民集
SH600825,新华传媒
SH600826,兰生股份
SH600827,百联股份
SH600828,茂业商业
SH600829,人民同泰
SH600830,香溢融通
SH600831,广电网络
SH600833,第一医药
SH600834,申通地铁
SH600835,上海机电
SH600838,上海九百
SH600839,四川长虹
SH600841,动力新科
SH600843,上工申贝
SH600844,金煤科技
SH600845,宝信软件
SH600846,同济科技
SH600847,万里股份
SH600848,上海临港
SH600850,电科数字
SH600851,海欣股份
SH600853,龙建股份
SH600854,春兰股份
SH600855,航天长峰
SH600857,宁波中百
SH600858,银座股份
SH600859,王府井
SH600860,京城股份
SH600861,北京人力
SH600862,中航高科
SH600863,华能蒙电
SH600864,哈投股份
SH600865,百大集团
SH600866,星湖科技
SH600867,通化东宝
SH600868,梅雁吉祥
SH600869,远东股份
SH600871,石化油服
SH600872,中炬高新
SH600873,梅花生物
SH600874,创业环保
SH600875,东方电气
SH600876,凯盛新能
SH600877,电科芯片
SH600879,航天电子
SH600880,博瑞传播
SH600881,亚泰集团
SH600882,妙可蓝多
SH600883,博闻科技
SH600884,杉杉股份
SH600885,宏发股份
SH600886,国投电力
SH600887,伊利股份
SH600888,新疆众和
SH600889,*ST京化
SH600892,大晟文化
SH600893,航发动力
SH600894,广日股份
SH600895,张江高科
SH600897,厦门空港
SH600900,长江电力
SH600901,江苏金租
SH600903,贵州燃气
SH600905,三峡能源
SH600906,财达证券
SH600908,无锡银行
SH600909,华安证券
SH600916,中国黄金
SH600917,重庆燃气
SH600918,中泰证券
SH600919,江苏银行
SH600925,苏能股份
SH600926,杭州银行
SH600927,永安期货
SH600928,西安银行
SH600929,雪天盐业
SH600930,华电新能
SH600933,爱柯迪
SH600935,华塑股份
SH600936,北投科技
SH600938,中国海油
SH600939,重庆建工
SH600941,中国移动
SH600955,维远股份
SH600956,新天绿能
SH600958,东方证券
SH600959,江苏有线
SH600960,渤海汽车
SH600961,株冶集团
SH600962,国投中鲁
SH600963,岳阳林纸
SH600965,*ST福成
SH600966,博汇纸业
SH600967,内蒙一机
SH600968,海油发展
SH600969,郴电国际
SH600970,中材国际
SH600971,恒源煤电
SH600973,宝胜股份
SH600975,新五丰
SH600976,健民集团
SH600977,中国电影
SH600979,广安爱众
SH600980,北矿科技
SH600981,苏豪汇鸿
SH600982,宁波能源
SH600983,惠而浦
SH600984,建设机械
SH600985,淮北矿业
SH600986,浙文互联
SH600987,航民股份
SH600988,赤峰黄金
SH600989,宝丰能源
SH600990,四创电子
SH600992,贵绳股份
SH600993,马应龙
SH600995,南网储能
SH600996,贵广网络
SH600997,开滦股份
SH600998,九州通
SH600999,招商证券
SH601000,唐山港
SH601001,晋控煤业
SH601002,晋亿实业
SH601003,柳钢股份
SH601005,重庆钢铁
SH601006,大秦铁路
SH601007,金陵饭店
SH601008,连云港
SH601009,南京银行
SH601010,ST文峰
SH601011,宝泰隆
SH601012,隆基绿能
SH601015,陕西黑猫
SH601016,节能风电
SH601018,宁波港
SH601019,山东出版
SH601020,华钰矿业
SH601021,春秋航空
SH601022,宁波远洋
SH601026,道生天合
SH601033,永兴股份
SH601038,一拖股份
SH601058,赛轮轮胎
SH601059,信达证券
SH601061,中信金属
SH601065,江盐集团
SH601066,中信建投
SH601068,中铝国际
SH601069,西部黄金
SH601077,渝农商行
SH601083,锦江航运
SH601086,国芳集团
SH601088,中国神华
SH601089,福元医药
SH601096,宏盛华源
SH601098,中南传媒
SH601099,太平洋
SH601100,恒立液压
SH601101,昊华能源
SH601106,中国一重
SH601107,四川成渝
SH601108,财通证券
SH601111,中国国航
SH601112,振石股份
SH601113,华鼎股份
SH601116,三江购物
SH601117,中国化学
SH601118,海南橡胶
SH601121,宝地矿业
SH601126,四方股份
SH601127,赛力斯
SH601128,常熟银行
SH601133,柏诚股份
SH601136,首创证券
SH601137,博威合金
SH601138,工业富联
SH601139,深圳燃气
SH601155,新城控股
SH601156,东航物流
SH601158,重庆水务
SH601162,天风证券
SH601163,三角轮胎
SH601166,兴业银行
SH601168,西部矿业
SH601169,北京银行
SH601177,杭齿前进
SH601179,中国西电
SH601186,中国铁建
SH601187,厦门银行
SH601188,龙江交通
SH601198,东兴证券
SH601199,江南水务
SH601200,上海环境
SH601208,东材科技
SH601211,国泰海通
SH601212,白银有色
SH601216,君正集团
SH601218,吉鑫科技
SH601222,林洋能源
SH601225,陕西煤业
SH601226,华电科工
SH601228,广州港
SH601229,上海银行
SH601231,环旭电子
SH601233,桐昆股份
SH601236,红塔证券
SH601238,广汽集团
SH601279,英利汽车
SH601288,农业银行
SH601298,青岛港
SH601311,骆驼股份
SH601318,中国平安
SH601319,中国人保
SH601326,秦港股份
SH601328,交通银行
SH601330,绿色动力
SH601333,广深铁路
SH601336,新华保险
SH601339,百隆东方
SH601360,三六零
SH601366,利群股份
SH601368,绿城水务
SH601369,陕鼓动力
SH601375,XD中原证
SH601377,兴业证券
SH601388,怡球资源
SH601390,中国中铁
SH601398,工商银行
SH601399,国机重装
SH601456,国联民生
SH601500,通用股份
SH601512,中新集团
SH601515,衢州东峰
SH601518,吉林高速
SH601519,大智慧
SH601528,瑞丰银行
SH601555,东吴证券
SH601566,九牧王
SH601567,三星电气
SH601568,北元化工
SH601577,长沙银行
SH601579,会稽山
SH601588,北辰实业
SH601595,上海电影
SH601598,中国外运
SH601599,浙文影业
SH601600,XD中国铝
SH601601,中国太保
SH601606,长城军工
SH601607,上海医药
SH601608,中信重工
SH601609,金田股份
SH601611,中国核建
SH601615,明阳智能
SH601616,广电电气
SH601618,中国中冶
SH601619,嘉泽新能
SH601628,中国人寿
SH601633,长城汽车
SH601636,旗滨集团
SH601658,邮储银行
SH601665,齐鲁银行
SH601666,平煤股份
SH601668,中国建筑
SH601669,中国电建
SH601677,明泰铝业
SH601678,滨化股份
SH601686,友发集团
SH601688,华泰证券
SH601689,拓普集团
SH601696,中银证券
SH601698,中国卫通
SH601699,潞安环能
SH601700,风范股份
SH601702,华峰铝业
SH601717,中创智领
SH601718,ST际华
SH601727,上海电气
SH601728,中国电信
SH601766,中国中车
SH601777,千里科技
SH601778,晶科科技
SH601788,光大证券
SH601789,宁波建工
SH601798,蓝科高新
SH601799,星宇股份
SH601800,中国交建
SH601801,皖新传媒
SH601808,中海油服
SH601811,新华文轩
SH601816,京沪高铁
SH601818,光大银行
SH601825,沪农商行
SH601827,三峰环境
SH601828,美凯龙
SH601838,成都银行
SH601857,中国石油
SH601858,中国科传
SH601860,紫金银行
SH601865,福莱特
SH601866,中远海发
SH601868,中国能建
SH601869,长飞光纤
SH601872,招商轮船
SH601877,正泰电器
SH601878,浙商证券
SH601880,辽港股份
SH601881,中国银河
SH601882,海天精工
SH601886,江河集团
SH601888,中国中免
SH601890,亚星锚链
SH601898,中煤能源
SH601899,紫金矿业
SH601900,南方传媒
SH601901,方正证券
SH601908,京运通
SH601916,浙商银行
SH601918,新集能源
SH601919,中远海控
SH601921,浙版传媒
SH601928,凤凰传媒
SH601929,吉视传媒
SH601933,永辉超市
SH601939,建设银行
SH601949,中国出版
SH601952,苏垦农发
SH601956,东贝集团
SH601958,金钼股份
SH601963,重庆银行
SH601965,中国汽研
SH601966,玲珑轮胎
SH601968,宝钢包装
SH601969,海南矿业
SH601975,招商南油
SH601985,中国核电
SH601988,中国银行
SH601990,南京证券
SH601991,大唐发电
SH601992,金隅集团
SH601995,中金公司
SH601996,丰林集团
SH601997,贵阳银行
SH601998,中信银行
SH601999,出版传媒
SH603000,人民网
SH603001,奥康国际
SH603002,宏昌电子
SH603004,鼎龙科技
SH603005,晶方科技
SH603006,联明股份
SH603007,顺景科技
SH603008,ST喜临门
SH603009,北特科技
SH603010,万盛股份
SH603011,合锻智能
SH603012,创力集团
SH603013,亚普股份
SH603014,威高血净
SH603015,弘讯科技
SH603016,新宏泰
SH603017,中衡设计
SH603018,华设集团
SH603019,中科曙光
SH603020,爱普股份
SH603021,*ST华鹏
SH603022,新通联
SH603023,威帝股份
SH603025,大豪科技
SH603026,石大胜华
SH603027,千禾味业
SH603028,赛福天
SH603029,天鹅股份
SH603030,全筑股份
SH603031,安孚科技
SH603032,德新科技
SH603033,三维股份
SH603035,常熟汽饰
SH603036,如通股份
SH603037,凯众股份
SH603038,华立股份
SH603039,泛微网络
SH603040,新坐标
SH603041,美思德
SH603042,华脉科技
SH603043,广州酒家
SH603045,福达合金
SH603048,浙江黎明
SH603049,中策橡胶
SH603050,科林电气
SH603051,鹿山新材
SH603052,可川科技
SH603053,成都燃气
SH603055,台华新材
SH603057,紫燕食品
SH603058,永吉股份
SH603059,倍加洁
SH603060,国检集团
SH603061,金海通
SH603062,麦加芯彩
SH603063,禾望电气
SH603065,宿迁联盛
SH603066,音飞储存
SH603067,振华股份
SH603068,博通集成
SH603069,海汽集团
SH603070,万控智造
SH603071,物产环能
SH603072,天和磁材
SH603073,彩蝶实业
SH603075,热威股份
SH603076,乐惠国际
SH603077,和邦生物
SH603078,江化微
SH603079,圣达生物
SH603080,新疆火炬
SH603081,大丰实业
SH603082,北自科技
SH603083,剑桥科技
SH603085,天成自控
SH603086,先达股份
SH603087,甘李药业
SH603088,宁波精达
SH603089,正裕工业
SH603090,宏盛股份
SH603091,众鑫股份
SH603092,德力佳
SH603093,南华期货
SH603095,越剑智能
SH603096,新经典
SH603097,江苏华辰
SH603098,森特股份
SH603099,长白山
SH603100,川仪股份
SH603101,汇嘉时代
SH603102,百合股份
SH603103,横店影视
SH603105,芯能科技
SH603106,恒银科技
SH603107,上海汽配
SH603108,润达医疗
SH603109,神驰机电
SH603110,东方材料
SH603111,康尼机电
SH603112,华翔股份
SH603113,金能科技
SH603115,海星股份
SH603116,红蜻蜓
SH603117,万林物流
SH603118,共进股份
SH603119,浙江荣泰
SH603120,肯特催化
SH603121,华培动力
SH603122,合富中国
SH603123,翠微股份
SH603124,江南新材
SH603125,常青科技
SH603126,中材节能
SH603127,昭衍新药
SH603128,华贸物流
SH603129,春风动力
SH603130,云中马
SH603131,上海沪工
SH603132,金徽股份
SH603135,中重科技
SH603136,天目湖
SH603137,恒尚节能
SH603138,海量数据
SH603139,康惠股份
SH603150,万朗磁塑
SH603151,邦基科技
SH603153,上海建科
SH603155,新亚强
SH603156,养元饮品
SH603158,腾龙股份
SH603159,上海亚虹
SH603160,汇顶科技
SH603161,科华控股
SH603162,海通发展
SH603163,圣晖集成
SH603165,荣晟环保
SH603166,福达股份
SH603167,渤海轮渡
SH603168,莎普爱思
SH603169,兰石重装
SH603170,宝立食品
SH603171,税友股份
SH603172,万丰股份
SH603173,福斯达
SH603175,超颖电子
SH603176,汇通集团
SH603177,德创环保
SH603178,圣龙股份
SH603179,新泉股份
SH603180,金牌家居
SH603181,皇马科技
SH603182,嘉华股份
SH603183,建研院
SH603185,弘元绿能
SH603186,华正新材
SH603187,海容冷链
SH603188,亚邦股份
SH603189,*ST网达
SH603190,亚通精工
SH603191,望变电气
SH603192,汇得科技
SH603193,润本股份
SH603194,中力股份
SH603195,公牛集团
SH603196,璞源材料
SH603197,保隆科技
SH603198,迎驾贡酒
SH603199,九华旅游
SH603200,上海洗霸
SH603201,常润股份
SH603202,天有为
SH603203,快克智能
SH603205,健尔康
SH603206,嘉环科技
SH603207,小方制药
SH603208,江山欧派
SH603209,兴通股份
SH603210,泰鸿万立
SH603211,晋拓股份
SH603212,赛伍技术
SH603213,镇洋发展
SH603214,爱婴室
SH603215,比依股份
SH603216,梦天家居
